10 70
0 7 7.5564
9 1 7.2810
4 2 3.1920
8 1 8.3173
3 8 2.2824
7 6 8.1517
6 1 7.0729
9 8 7.7648
0 5 8.6802
3 2 9.6305
9 2 6.0324
3 6 3.9159
8 2 0.7235
4 0 7.1136
2 5 7.3710
6 4 8.5373
3 5 0.1416
0 8 1.5050
2 4 3.8113
2 1 4.4719
1 3 4.0463
7 5 9.3339
5 2 5.0084
8 9 1.7903
9 4 1.7199
4 8 8.4721
2 8 5.9455
8 3 9.0272
5 3 7.2662
6 0 9.0913
6 2 8.6368
0 2 5.4782
3 4 9.8377
9 3 4.7656
8 5 9.4273
4 3 5.4797
7 2 7.9312
0 3 4.7142
1 0 0.7299
0 9 9.3173
5 1 1.9228
8 6 5.8288
1 5 9.8684
9 7 5.6815
7 3 9.1945
0 6 0.3045
2 9 3.8424
4 9 5.6201
2 3 9.1765
5 0 9.3057
1 4 2.4267
5 8 6.1636
1 2 4.3089
7 4 3.2961
4 1 8.5915
3 9 4.4201
7 8 7.2362
6 9 4.2003
0 1 6.9486
7 0 2.6765
9 0 2.9607
7 1 5.9540
9 5 3.6590
2 7 2.4925
4 7 7.7276
4 5 2.6261
1 7 4.1112
6 7 9.3823
4 6 6.0259
7 9 7.3731
