50 1000
5 14 5.4542
29 13 1.1889
30 37 4.9890
24 30 5.9141
5 22 4.5685
14 24 2.4610
14 48 9.6764
2 34 1.0967
10 22 0.5341
33 20 3.7020
40 9 7.8425
24 12 2.1370
44 8 9.7477
27 2 4.9649
29 12 4.9577
19 8 5.1550
1 48 4.0271
21 5 4.5621
10 0 5.3537
20 39 2.0887
8 34 4.9519
37 28 6.5501
39 2 2.5284
9 44 8.7939
12 2 4.7461
34 37 5.9490
20 22 1.7436
3 23 0.4232
35 42 4.9325
32 39 7.2813
45 20 4.0707
32 19 2.9569
12 28 0.5013
17 3 9.7021
48 5 1.5263
27 29 5.4633
49 18 1.2777
26 34 9.7191
27 23 5.7066
4 23 4.3672
9 34 7.2567
24 13 5.6522
22 9 7.0271
26 24 2.2033
42 13 8.9742
48 40 1.0070
35 44 4.1551
21 24 9.0039
33 8 9.0385
40 3 9.4040
14 30 5.7703
26 29 2.2404
23 22 2.8116
1 3 5.6651
10 2 7.9789
41 48 5.6882
31 5 0.5738
12 23 6.2957
45 31 1.7863
0 11 6.8277
47 22 4.6211
48 43 0.8414
49 11 0.1903
33 18 6.0991
37 29 5.3360
39 33 3.5254
46 6 3.0455
12 7 2.9083
32 46 6.5723
24 17 9.0415
19 42 5.6658
21 10 5.4342
48 10 7.6853
12 31 3.7361
21 37 8.8178
42 36 5.3570
1 17 0.1923
7 23 7.7059
35 39 0.8410
44 7 1.0639
18 27 8.4975
10 16 4.6799
15 28 8.6602
33 22 8.0431
45 43 7.5659
19 30 5.8289
25 7 2.6217
4 28 8.1682
45 46 3.4492
48 24 6.7821
4 31 6.6949
40 2 4.4684
24 8 2.3708
33 30 1.5636
45 15 6.4280
43 1 5.8366
49 3 4.5563
19 9 8.2586
16 13 9.0224
24 15 0.6669
4 32 5.3638
3 48 1.9981
5 29 7.7068
5 40 8.4869
16 27 1.3549
46 37 8.9783
27 37 8.2885
9 29 0.0086
46 9 0.7235
8 39 8.9174
47 48 4.1406
31 28 2.3774
37 18 7.3299
29 8 2.3232
45 38 3.1086
43 39 7.8313
3 49 1.9142
16 31 7.7357
32 35 5.7312
6 41 8.7321
21 40 7.5878
8 23 3.1380
15 16 2.4221
24 5 8.6716
38 2 1.1784
41 7 7.5622
11 36 7.3501
47 34 5.8744
14 40 3.3515
39 48 1.6276
38 23 5.5368
1 4 6.0234
25 33 7.9894
34 11 4.9278
15 32 9.7191
36 1 6.7420
20 10 8.6274
48 36 7.9201
19 12 9.3624
44 6 5.7870
16 45 3.2576
23 25 0.6240
42 8 0.6402
18 47 3.1478
46 36 0.2302
42 23 0.1287
46 7 4.6698
21 11 4.6532
38 33 9.6268
5 43 3.9808
29 16 6.2508
31 19 4.7026
46 39 2.4200
27 43 0.8385
26 30 5.0735
48 19 3.7920
46 8 7.0645
47 4 2.7253
2 45 0.8968
36 48 4.2952
10 39 8.0711
44 47 9.0176
18 15 8.7167
47 42 2.1983
40 49 9.7137
28 12 6.4281
15 8 5.4842
43 7 4.8669
27 31 9.0950
4 5 1.2295
29 47 9.8448
27 45 4.3388
20 24 1.5289
12 16 1.1451
44 28 6.7891
40 47 0.9801
0 29 2.3165
37 26 2.0413
7 18 6.9207
2 27 0.3059
45 11 3.0924
27 38 4.1212
8 20 1.1070
37 1 8.2445
41 12 9.9315
48 8 5.3689
49 39 4.4133
4 15 0.8568
34 31 9.0387
30 46 1.7235
18 29 9.2733
34 38 4.8825
13 43 3.8556
25 9 0.3420
26 21 9.5625
29 30 3.5875
15 26 7.2404
28 16 1.1901
30 41 2.8038
7 38 4.8012
20 35 7.5116
46 13 9.0664
40 25 5.4029
15 20 5.2646
15 13 2.1037
42 48 8.5608
2 1 0.1227
33 17 4.3574
34 8 4.6919
11 16 9.8258
42 3 9.3994
9 39 5.3878
5 0 3.9572
31 9 1.6227
14 6 6.4016
11 43 5.6512
19 49 3.4186
10 7 6.6886
25 43 5.3680
5 15 3.1388
5 2 8.0371
25 20 1.3814
42 1 1.1518
11 0 3.4633
45 41 0.6477
34 48 4.8540
47 16 6.3648
19 34 3.8617
36 46 9.0203
48 3 3.1645
42 24 0.0249
37 38 9.4386
30 48 2.1095
47 23 5.6955
45 27 3.3604
36 15 5.5731
6 17 7.0183
45 35 3.9617
32 34 0.1559
14 44 0.7757
8 40 4.8730
29 27 4.0561
40 28 4.5262
22 49 7.2353
49 0 9.8536
10 1 7.6456
32 27 6.8519
48 45 7.9819
6 49 0.1493
28 7 0.4529
46 34 5.0502
34 46 0.8854
13 15 1.6610
0 14 2.3065
20 8 5.8373
15 36 6.4884
5 23 7.3518
41 4 2.4664
31 49 6.5988
28 26 2.9828
18 31 8.4287
7 31 6.0314
43 44 8.9087
38 11 6.2287
37 17 5.4737
35 32 1.5209
5 30 3.1445
29 33 9.2796
9 4 8.9779
49 24 1.7611
40 7 4.3952
43 30 4.2968
0 37 9.4784
5 41 0.6069
44 37 5.5847
23 26 7.9215
5 36 2.4170
49 2 0.7114
15 0 2.7328
25 21 5.1027
7 1 2.6152
22 29 7.1422
23 7 4.0280
2 13 4.9029
36 31 1.6607
35 6 3.2943
16 24 5.9257
2 11 4.8606
42 6 9.3334
3 39 8.0581
0 36 1.8805
41 0 8.6694
8 36 6.3360
46 27 4.1114
18 45 6.0487
39 11 6.6157
47 12 3.6730
32 20 1.4736
3 13 4.9371
20 2 9.2995
37 2 0.8308
37 14 6.6402
43 34 2.1746
40 31 8.8802
42 2 0.1363
18 17 1.0078
38 3 5.1998
33 32 6.0859
44 24 1.1157
40 44 3.3038
0 48 9.7067
7 40 2.6084
20 9 9.6474
45 44 5.0701
2 8 9.5554
18 43 8.0189
7 16 8.1207
32 14 0.0828
9 18 2.2214
38 20 8.6138
29 39 0.3662
22 14 8.4576
10 45 8.4036
32 1 9.6939
42 17 9.8605
18 24 8.6242
42 47 3.4281
41 44 1.7961
16 35 6.9874
25 49 0.3128
13 1 2.4135
16 33 9.8288
41 49 5.1766
33 3 7.6829
5 28 1.8735
20 7 4.7753
3 16 8.4605
26 7 8.7873
29 40 8.4031
32 24 9.3071
4 0 6.3021
13 3 6.6241
26 31 0.6954
32 42 2.8958
31 34 0.7319
33 24 0.4447
37 41 1.7801
28 19 8.7446
38 44 4.9373
13 42 7.4149
10 44 4.8550
34 13 6.4080
33 9 5.3306
36 21 3.4478
24 37 0.6880
28 10 4.9697
39 49 7.6905
20 28 5.6982
0 13 7.1413
35 17 9.0265
21 17 9.2914
39 9 7.4168
29 32 6.6270
30 42 0.8827
48 0 3.6126
32 25 2.5624
25 11 5.6406
8 41 6.8283
14 1 9.6489
2 29 2.3523
37 47 1.2503
16 36 1.0010
13 44 6.9142
6 43 5.6923
15 35 5.5800
13 17 8.6515
0 28 8.3853
41 47 5.4756
0 47 2.2414
17 16 5.8987
19 38 8.8925
17 25 3.8456
12 9 4.8425
24 1 1.2576
17 36 5.8196
28 8 9.6872
4 18 3.2412
38 21 0.9739
2 22 0.4672
44 14 3.7764
30 29 5.6750
33 34 7.4988
45 49 9.1164
29 9 1.0373
49 10 5.2563
15 40 6.5673
39 34 1.1627
7 0 4.4924
8 3 3.9168
18 6 3.6608
29 0 9.2546
6 26 1.8128
25 40 2.3323
25 0 4.1618
45 28 2.0272
11 17 3.3623
31 14 2.0536
5 32 5.3557
36 12 3.9426
19 6 2.7950
6 46 3.5514
30 17 7.6962
16 17 9.4522
17 28 1.4375
23 44 1.6660
41 24 5.1025
47 31 2.1048
29 44 0.6818
12 41 3.0052
4 33 5.9364
6 40 9.0039
6 20 3.5978
7 47 7.5480
17 38 9.7575
40 29 3.0577
10 38 1.0090
